"Sr. No.","Work Category","Work","State","IDA","Work Description","Hon'ble Members of Parliament","Constituency","Image","Completion Date","Amount Disbursed ( ₹ )"
"4658","Normal/Others","WS/MP18404/2024-2025/176530-Lighting of public spaces","Uttar Pradesh","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","HIGH MAST LIGHT WITH SIX LED RECOMMENDED IN MY CONSTITUENCY NAGINA BY IMPLEMNETING AGENCY PCCD BIJNORE (VILLAGE MOHAMMAD AMIKHANPUR URF JATTI WALA NEAR GURUDWARA)","CHANDRA SHEKHAR","NAGINA(SC)","Images","21-Jan-2026","176130"
"4659","Normal/Others","WS/MP18404/2024-2025/176529-Lighting of public spaces","Uttar Pradesh","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","HIGH MAST LIGHT WITH SIX LED RECOMMENDED IN MY CONSTITUENCY NAGINA BY IMPLEMNETING AGENCY PCCD BIJNORE (VILLAGE BIRUWALA NEAR GURUDWARA)","CHANDRA SHEKHAR","NAGINA(SC)","Images","21-Jan-2026","174496"
"4660","Normal/Others","WS/MP18404/2024-2025/176540-Lighting of public spaces","Uttar Pradesh","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","HIGH MAST LIGHT WITH SIX LED RECOMMENDED IN MY CONSTITUENCY NAGINA BY IMPLEMNETING AGENCY PCCD BIJNORE (VILLAGE SADULLA KHANPUR URF MADHI DHARAMSHALA PAR)","CHANDRA SHEKHAR","NAGINA(SC)","Images","21-Jan-2026","175045"
"4661","Normal/Others","WS/MP18404/2024-2025/176544-Lighting of public spaces","Uttar Pradesh","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","HIGH MAST LIGHT WITH SIX LED RECOMMENDED IN MY CONSTITUENCY NAGINA BY IMPLEMNETING AGENCY PCCD BIJNORE (SHAHAR NOORPUR THANE KE GATE PAR )","CHANDRA SHEKHAR","NAGINA(SC)","Images","21-Jan-2026","176130"
"4662","Normal/Others","WS/MP18404/2024-2025/176542-Lighting of public spaces","Uttar Pradesh","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","HIGH MAST LIGHT WITH SIX LED RECOMMENDED IN MY CONSTITUENCY NAGINA BY IMPLEMNETING AGENCY PCCD BIJNORE (VILLAGE NATHADOI AHATMALI DHARMSHALA PAR )","CHANDRA SHEKHAR","NAGINA(SC)","Images","21-Jan-2026","175593"
"4663","Normal/Others","WS/MP18404/2024-2025/176543-Lighting of public spaces","Uttar Pradesh","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","HIGH MAST LIGHT WITH SIX LED RECOMMENDED IN MY CONSTITUENCY NAGINA BY IMPLEMNETING AGENCY PCCD BIJNORE (VILLAGE AMINABAD ANKIT KE GHAR KE PAAS)","CHANDRA SHEKHAR","NAGINA(SC)","Images","21-Jan-2026","174520"
"4664","Normal/Others","WS/MP18404/2024-2025/176541-Lighting of public spaces","Uttar Pradesh","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","HIGH MAST LIGHT WITH SIX LED RECOMMENDED IN MY CONSTITUENCY NAGINA BY IMPLEMNETING AGENCY PCCD BIJNORE (VILLAGE LATIFPUR URF SIPAHIYOWALA GOLIKAND STHAN PAR )","CHANDRA SHEKHAR","NAGINA(SC)","Images","21-Jan-2026","174505"
"4665","Normal/Others","WS/MP18404/2024-2025/176547-Lighting of public spaces","Uttar Pradesh","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","HIGH MAST LIGHT WITH SIX LED RECOMMENDED IN MY CONSTITUENCY NAGINA BY IMPLEMNETING AGENCY PCCD BIJNORE (VILLAGE IBRAHIMPUR BABAN MADRASE PAR )","CHANDRA SHEKHAR","NAGINA(SC)","Images","21-Jan-2026","175681"
"4666","Normal/Others","WS/MP18404/2024-2025/176546-Lighting of public spaces","Uttar Pradesh","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","HIGH MAST LIGHT WITH SIX LED RECOMMENDED IN MY CONSTITUENCY NAGINA BY IMPLEMNETING AGENCY PCCD BIJNORE (VILLAGE IBRAHIMPUR BABAN DHARMSHALA PAR )","CHANDRA SHEKHAR","NAGINA(SC)","Images","21-Jan-2026","175033"
"4667","Normal/Others","WS/MP18404/2024-2025/176545-Lighting of public spaces","Uttar Pradesh","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","HIGH MAST LIGHT WITH SIX LED RECOMMENDED IN MY CONSTITUENCY NAGINA BY IMPLEMNETING AGENCY PCCD BIJNORE (VILLAGE MEMEN SADAT KARBALA PAR )","CHANDRA SHEKHAR","NAGINA(SC)","Images","21-Jan-2026","175582"
"4668","Normal/Others","WS/MP18404/2024-2025/176559-Lighting of public spaces","Uttar Pradesh","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","HIGH MAST LIGHT WITH SIX LED RECOMMENDED IN MY CONSTITUENCY NAGINA BY IMPLEMNETING AGENCY PCCD BIJNORE (VILLAGE MIRAMPUR BEGA DHARMSHALA PAR )","CHANDRA SHEKHAR","NAGINA(SC)","Images","21-Jan-2026","175599"
"4669","Normal/Others","WS/MP18404/2024-2025/176558-Lighting of public spaces","Uttar Pradesh","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","HIGH MAST LIGHT WITH SIX LED RECOMMENDED IN MY CONSTITUENCY NAGINA BY IMPLEMNETING AGENCY PCCD BIJNORE (VILLAGE AURANGPUR BHIKKO  DHARMSHALA PAR )","CHANDRA SHEKHAR","NAGINA(SC)","Images","21-Jan-2026","176051"
"4670","Normal/Others","WS/MP18404/2024-2025/176557-Lighting of public spaces","Uttar Pradesh","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","HIGH MAST LIGHT WITH SIX LED RECOMMENDED IN MY CONSTITUENCY NAGINA BY IMPLEMNETING AGENCY PCCD BIJNORE (VILLAGE KARAULI DHARMSHALA PAR )","CHANDRA SHEKHAR","NAGINA(SC)","Images","21-Jan-2026","173971"
"4671","Normal/Others","WS/MP600/2024-2025/148150-Providing drains and gutters for public drainage","Jammu And Kashmir","KATHUA(DISTRICT DEVELOPMENT COMMISSIONER KATHUA_IDA)","Construction of drain from the house of Parshotam Dass to onwards, Ward no. 6, Village Mela, Hiranagar, Kathua.","Jitendra Singh","UDHAMPUR","Images","24-Mar-2025","125000"
"4672","Normal/Others","WS/MP18404/2024-2025/176562-Lighting of public spaces","Uttar Pradesh","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","HIGH MAST LIGHT WITH SIX LED RECOMMENDED IN MY CONSTITUENCY NAGINA BY IMPLEMNETING AGENCY PCCD BIJNORE (VILLAGE JALPUR DHARMSHALA PAR )","CHANDRA SHEKHAR","NAGINA(SC)","Images","21-Jan-2026","176130"
"4673","Normal/Others","WS/MP18404/2024-2025/176565-Lighting of public spaces","Uttar Pradesh","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","HIGH MAST LIGHT WITH SIX LED RECOMMENDED IN MY CONSTITUENCY NAGINA BY IMPLEMNETING AGENCY PCCD BIJNORE (VILLAGE JEETPUR KHAS DHARMSHALA PAR )","CHANDRA SHEKHAR","NAGINA(SC)","Images","21-Jan-2026","175607"
"4674","Normal/Others","WS/MP18404/2024-2025/176560-Lighting of public spaces","Uttar Pradesh","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","HIGH MAST LIGHT WITH SIX LED RECOMMENDED IN MY CONSTITUENCY NAGINA BY IMPLEMNETING AGENCY PCCD BIJNORE (VILLAGE MANDAWALI DHARMSHALA PAR )","CHANDRA SHEKHAR","NAGINA(SC)","Images","21-Jan-2026","174525"
"4675","Normal/Others","WS/MP18404/2024-2025/176564-Lighting of public spaces","Uttar Pradesh","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","HIGH MAST LIGHT WITH SIX LED RECOMMENDED IN MY CONSTITUENCY NAGINA BY IMPLEMNETING AGENCY PCCD BIJNORE (VILLAGE SHAHJADPUR DHARMSHALA PAR )","CHANDRA SHEKHAR","NAGINA(SC)","Images","21-Jan-2026","175059"
"4676","Normal/Others","WS/MP18404/2024-2025/176563-Lighting of public spaces","Uttar Pradesh","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","HIGH MAST LIGHT WITH SIX LED RECOMMENDED IN MY CONSTITUENCY NAGINA BY IMPLEMNETING AGENCY PCCD BIJNORE (VILLAGE NANGAL DHARMSHALA PAR )","CHANDRA SHEKHAR","NAGINA(SC)","Images","21-Jan-2026","175055"
"4677","Normal/Others","WS/MP18404/2024-2025/176566-Lighting of public spaces","Uttar Pradesh","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","HIGH MAST LIGHT WITH SIX LED RECOMMENDED IN MY CONSTITUENCY NAGINA BY IMPLEMNETING AGENCY PCCD BIJNORE (VILLAGE GOUSPUR AHTMALI DHARMSHALA PAR )","CHANDRA SHEKHAR","NAGINA(SC)","Images","21-Jan-2026","173447"
"4678","Normal/Others","WS/MP18321/2024-2025/157556-Construction of roads, link roads, pathways or any other road with or without drainage system","Gujarat","SABAR KANTHA(DISTRICT COLLECTOR SABARKANTHA_IDA)","CC Road work from Patel Poonam chand Kishorbhai's house to Patel Ishwarbhai Manibhai's house in Amodara village","SHOBHANABEN MAHENDRASINH BARAIYA","SABARKANTHA","Images","26-Jun-2025","150000"
"4679","Normal/Others","WS/MP18231/2024-2025/178436-Lighting of public spaces","Uttar Pradesh","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","GRAM SADAKPUR ME MASJID KE PASS SARVJANIK STHAL PAR SEMI HIGH MAST LIGHT 6 LIGHT WALI","RUCHI VIRA","MORADABAD","Images","14-Jan-2026","169221"
"4680","Normal/Others","WS/MP18231/2024-2025/178444-Lighting of public spaces","Uttar Pradesh","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","GRAM PADARATHPUR KE UDAIPUR ME BAZAR KE PASS CHAURAHE KE PASS SARVJANIK STHAL SEMI HIGH MAST LIGHT 6 LIGHTB WALI","RUCHI VIRA","MORADABAD","Images","14-Jan-2026","168687"
"4681","Normal/Others","WS/MP18231/2024-2025/178445-Lighting of public spaces","Uttar Pradesh","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","GRAM JABTA NAGAR ME MAIN CHAURAHE KE PASS BANTY KE PASS SARVJANIK STHAL PAR SEMI HIGH MAST LIGHT 6 LIGHT WALI","RUCHI VIRA","MORADABAD","Images","14-Jan-2026","169838"
"4682","Normal/Others","WS/MP18231/2024-2025/178435-Lighting of public spaces","Uttar Pradesh","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","GRAM JAINAGAR ME MASJID KE PASS SARVJANIK STHAL PAR SEMI HIGH LIGHT 6 LIGHT WALI","RUCHI VIRA","MORADABAD","Images","14-Jan-2026","168687"
"4683","Normal/Others","WS/MP18231/2024-2025/178442-Lighting of public spaces","Uttar Pradesh","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","GRAM HARKISHANPUR ME BRIJPAL SINGH CHAURAHE KE PASS SARVJANIK STHAL SEMI HIGH MAST LIGHT 6 LIGHT WALI","RUCHI VIRA","MORADABAD","Images","14-Jan-2026","169223"
"4684","Normal/Others","WS/MP18231/2024-2025/178437-Lighting of public spaces","Uttar Pradesh","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","GRAM JIGRIWALA ME BHATTE WALE CHAURAHE SHAREEF KI CHAKKI KE PASS BADI MASJID KE PASS SARVJANIK STHAL PAR SEMI HIGH MAST LIGHT 6 LIGHT WALI","RUCHI VIRA","MORADABAD","Images","14-Jan-2026","170283"
"4685","Normal/Others","WS/MP18231/2024-2025/178438-Lighting of public spaces","Uttar Pradesh","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","GRAM RASULPUR ABAD KE PREMPURI ME GURUDWARE KE PASS SARVAJANIK STHAL PAR SEMI HIGH MAST LIGHT 6 BLIGHT WALI","RUCHI VIRA","MORADABAD","Images","14-Jan-2026","169229"
"4686","Normal/Others","WS/MP331/2024-2025/178494-Purchase of prosthetics, wheel chairs, tricycles (manual or motorized), elect scooties, hearing aids","Jammu And Kashmir","REASI(DC Reasi_2)","Dedication of Prosthesis artificial limb leg to Mr Daleep Singh So Late Sh Roop Chand Ro Kakara Pyt Chinkah PO Arnas Tehsil Tahkrakote Block Thakrakote","Shri Jugal Kishore Sharma","JAMMU","Images","23-Apr-2025","993825"
"4687","Normal/Others","WS/MP18231/2024-2025/178439-Lighting of public spaces","Uttar Pradesh","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","GRAM JAFRABAD ME MASJID KE PASS SARVJANIK STHAL PAR SEMI HIGH MAST LIGHT 6 LIGHT WALI","RUCHI VIRA","MORADABAD","Images","14-Jan-2026","169757"
"4688","Normal/Others","WS/MP18231/2024-2025/178429-Lighting of public spaces","Uttar Pradesh","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","GRAM PUKHKHEWALA ME TANKI KE PAS TIRAHE KE PASS SARVJANIK STHAL PAR SEMI HIGH MAST LIGHT 6 LIGHT WALI","RUCHI VIRA","MORADABAD","Images","14-Jan-2026","169753"
"4689","Normal/Others","WS/MP18231/2024-2025/178430-Lighting of public spaces","Uttar Pradesh","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","GRAM SEER BASU CHAND ME MAIN CHAURAHA TRANSFARMER KE PASS SARVJANIK STHAL PAR SEMI HIGH MAST LIGHT 6 WALI","RUCHI VIRA","MORADABAD","Images","14-Jan-2026","170842"
"4690","Normal/Others","WS/MP18231/2024-2025/178431-Lighting of public spaces","Uttar Pradesh","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","GRAM FAZLABAD PARMANANDPUR ME POLICE CHAUKI KE SAMNE KASMI DHARMKATE KE PASS SARVJANIK STHAL PAR SEMI HIGH MAST LIGHT 6 LIGHT WALI","RUCHI VIRA","MORADABAD","Images","14-Jan-2026","170301"
"4691","Normal/Others","WS/MP18231/2024-2025/178432-Lighting of public spaces","Uttar Pradesh","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","GRAM HARRAWALA AMAANNAGAR ME MAIN CHAURAHA MADRASE KE PASS SARVJANIK STHAL PAR SEMI HIGH MAST LIGHT 6 LIGHT WALI","RUCHI VIRA","MORADABAD","Images","14-Jan-2026","170823"
"4692","Normal/Others","WS/MP18231/2024-2025/178443-Lighting of public spaces","Uttar Pradesh","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","GRAM SUAWALA ME DULLA CHAUK KE PASS SARVJANIK STHAL PAR SEMI HIGH MAST LIGHT 6 LIGHT WALI","RUCHI VIRA","MORADABAD","Images","14-Jan-2026","170835"
"4693","Normal/Others","WS/MP18231/2024-2025/178449-Lighting of public spaces","Uttar Pradesh","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","GRAAM NOORPUR ARAB ME MAIN CHAURAHE KE PASS SARVJANIK STHAL PAR SEMI HIGH MAST LIGHT 6 LIGHT WALI","RUCHI VIRA","MORADABAD","Images","14-Jan-2026","170294"
"4694","Normal/Others","WS/MP18231/2024-2025/178450-Lighting of public spaces","Uttar Pradesh","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","GRAM ISLAMABAD ME MAIN CHAURAHE KE PASS SARVJANIK STHAL PAR SEMI HIGH MAST LIGHT 6 LIGHT WALI","RUCHI VIRA","MORADABAD","Images","14-Jan-2026","168687"
"4695","Normal/Others","WS/MP18231/2024-2025/178448-Lighting of public spaces","Uttar Pradesh","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","GRAM ALAUDDENPUR ME MAIN CHAURAHE PAR SALEEM KI DUKAN KE PASS SARVJANIK STHAL PAR SEMI HIGH MAST LIGHT 6 LIGHT WALI","RUCHI VIRA","MORADABAD","Images","14-Jan-2026","168149"
"4696","Normal/Others","WS/MP18231/2024-2025/178433-Lighting of public spaces","Uttar Pradesh","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","VILLAGE KASAMPUR GARI ME MAIN BAZAR ,MIYA JI KI DUKAN KE SAMNE ,TIRAHE PAR SARVJANIK STHAL PAR SEMI HIGH MAST LIGHT 6 LIGHT WALI","RUCHI VIRA","MORADABAD","Images","14-Jan-2026","169766"
"4697","Normal/Others","WS/MP18231/2024-2025/178441-Lighting of public spaces","Uttar Pradesh","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","GRAM KALLUWALA ME KASTURBA GANDHI SCHOOL KE SAMNE SINGHSABHA GURUDWARE KE PASS SARVJANIK STHAL SEMI HIGH MAST LIGHT 6 LIGHT WALI","RUCHI VIRA","MORADABAD","Images","14-Jan-2026","169761"
"4698","Normal/Others","WS/MP18231/2024-2025/178434-Lighting of public spaces","Uttar Pradesh","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","GRAM SHERGARGH ME MASJID KE CHAURAHE PAR SARVJANIK STHAL PAR SEMI HIGH MAST LIGHT 6 LIGHT WALI","RUCHI VIRA","MORADABAD","Images","14-Jan-2026","169749"
"4699","Normal/Others","WS/MP18231/2024-2025/178427-Lighting of public spaces","Uttar Pradesh","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","GRAM MIRAPUR MODIWALA ME KABRISTAAN KI PULIYA MAIN CHAURAHA SARVJANIK STHAL PAR SEMI HIGH MAST LIGHT 6 LIGHT WALI","RUCHI VIRA","MORADABAD","Images","14-Jan-2026","169224"
"4700","Normal/Others","WS/MP18231/2024-2025/178428-Lighting of public spaces","Uttar Pradesh","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","GRAM HIDAYATPUR ME KANJOT KE TIRAHE PAR SARVJANIK STHAL PAR SEMI HIGH MAST LIGHT 6 LIGHT WALI","RUCHI VIRA","MORADABAD","Images","14-Jan-2026","169213"
"4701","Normal/Others","WS/MP18231/2024-2025/178447-Lighting of public spaces","Uttar Pradesh","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","GRAM RASULPUR MUJAFFAR ME MASJID KE PASS CHAURAHE PAR SARVJANIK STHAL PAR SEMI HIGH MAST LIGHT 6 LIGHT WALI","RUCHI VIRA","MORADABAD","Images","14-Jan-2026","169224"
"4702","Normal/Others","WS/MP745/2024-2025/138572-Construction of water tanks","Tamil Nadu","TIRUPPUR(DISTRICT COLLECTOR TIRUPPUR_IDA)","Construction of 30000 ltr OHT at Aathiyur Kalaivani garden H/o. Veliampathi, Uthukuli Block","K Subbarayan","TIRUPPUR","Images","26-Mar-2025","998871"
"4703","Normal/Others","WS/MP18231/2024-2025/179701-Lighting of public spaces","Uttar Pradesh","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","GRAM KAMRUDDIN NAGAR ME MAIN CHAURAHE KE PASS SARVJANIK STHAL PAR SEMI HIGH MAST LIGHT 6 LIGHT WALI","RUCHI VIRA","MORADABAD","Images","14-Jan-2026","170294"
"4704","Normal/Others","WS/MP18231/2024-2025/179699-Lighting of public spaces","Uttar Pradesh","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","GRAM SAHUWALA GUSAIWALA CHAURAHE KE PASS BAGH KE PASS SARVJANIK STHAL PAR SEMI HIGH MAST LIGHT 6 LIGHT WALI","RUCHI VIRA","MORADABAD","Images","14-Jan-2026","169224"
"4705","Normal/Others","WS/MP18231/2024-2025/179779-Lighting of public spaces","Uttar Pradesh","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","GRAM KANHRAWALA ME GURUDWARE KE PASS SARVJANIK STHAL PAR SEMI HIGH MAST LIGHT 6 LIGHT WALI","RUCHI VIRA","MORADABAD","Images","14-Jan-2026","170294"
"4706","Normal/Others","WS/MP18231/2024-2025/179702-Lighting of public spaces","Uttar Pradesh","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","GRAM TANDA MAIDASS ME MAIN CHAURAHE KE PASS SARVJANIK STHAL PAR SEMI HIGH MAST LIGHT 6 LIGHT WALI","RUCHI VIRA","MORADABAD","Images","14-Jan-2026","168691"
"4707","Normal/Others","WS/MP18231/2024-2025/179778-Lighting of public spaces","Uttar Pradesh","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","GRAM KALYANPUR ME CHAURAHE KE PASS SARVJANIK STHAL PAR SEMI HIGH MAST LIGHT 6 LIGHT WALI","RUCHI VIRA","MORADABAD","Images","14-Jan-2026","170836"
"4708","Normal/Others","WS/MP18231/2024-2025/179697-Lighting of public spaces","Uttar Pradesh","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","GRAM KHUSHALPUR ME MAIN ROAD MASJID WALE CHAURAHE KE PASS SARVJANIK STHAL PAR SEMI HIGH MAST LIGHT 6 LIGHT WALI","RUCHI VIRA","MORADABAD","Images","14-Jan-2026","169231"
"4709","Normal/Others","WS/MP18231/2024-2025/179698-Lighting of public spaces","Uttar Pradesh","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","GRAM RAIPUR SADAT ME MAIN CHAURAHA HAJI TAHIR HUSAIN KE GHAR KE PASS SARVJANIK STHAL PAR SEMI HIGH MAST LIGHT 6 LIGHT WALI","RUCHI VIRA","MORADABAD","Images","14-Jan-2026","168694"
"4710","Normal/Others","WS/MP18231/2024-2025/179777-Lighting of public spaces","Uttar Pradesh","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","GRAM MURTAZAPUR CHAURAHE KE PASS SARVJANIK STHAL PAR SEMI HIGH MAST LIGHT 6 LIGHT WALI","RUCHI VIRA","MORADABAD","Images","14-Jan-2026","169773"
"4711","Normal/Others","WS/MP18231/2024-2025/178451-Lighting of public spaces","Uttar Pradesh","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","GRAM JAHANGEERPUR KHAS KE HAIZARPUR ME SHAMIM KI SHOP KE PASS CHAURAHE KE PASS SARVJANIK STHAL PAR SEMI HIGH MAST LIGHT 6 LIGHT WALI","RUCHI VIRA","MORADABAD","Images","14-Jan-2026","169767"
"4712","Normal/Others","WS/MP18231/2024-2025/178452-Lighting of public spaces","Uttar Pradesh","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","NANKAR URF RAMJIWALA ME CHAURAHE KE PASS SARVJANIK STHAL PAR SEMI HIGH MAST LIGHT 6 LIGHT WALI","RUCHI VIRA","MORADABAD","Images","14-Jan-2026","168694"
"4713","Normal/Others","WS/MP18231/2024-2025/178446-Lighting of public spaces","Uttar Pradesh","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","GRAM UMARPUR BAREKHERA ME MAIN ROAD WALI MASJID KE PASS CHAURAHE KE PASS SARJANIK STHAL PAR SEMI HIGH MAST LIGHT 6 LIGHT WALI","RUCHI VIRA","MORADABAD","Images","14-Jan-2026","170306"
"4714","Normal/Others","WS/MP18394/2024-2025/153070-Construction of rainwater harvesting structures","Tamil Nadu","NAMAKKAL(DISTRICT COLLECTOR NAMAKKAL_IDA)","Construction of Storm water drainage at Ward No.3 of Namagiripet Town Panchayat","V S Matheswaran","NAMAKKAL","Images","24-Mar-2025","1900000"
"4715","Normal/Others","WS/MP18231/2024-2025/179904-Lighting of public spaces","Uttar Pradesh","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","GRAM AJJUPURA RANI ME MAIN TIRAHA KE PASS SARVJANIK STHAL PAR SEMI HIGH MAST LIGHT 6 LIGHT WALI","RUCHI VIRA","MORADABAD","Images","14-Jan-2026","169759"
"4716","Normal/Others","WS/MP18231/2024-2025/179780-Lighting of public spaces","Uttar Pradesh","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","GRAM RAJPUA MADRSE KE PASS SARVJANIK STHAL PAR SEMI HIGH MAST LIGHT 6 LIGHT WALI","RUCHI VIRA","MORADABAD","Images","14-Jan-2026","170835"
"4717","Normal/Others","WS/MP18167/2024-2025/174573-Installing tube-wells and borewells","Rajasthan","JHUNJHUNU(DISTRICT COLLECTOR JHUNJHUNU_IDA)","New tubewell in place of dried up tubewell in Hanutaram Ki Dhani. Working agency Lamba Gothra panchayat.","BRIJENDRA SINGH OLA","JHUNJHUNU","N/A","13-Feb-2026","689979"
"4718","Normal/Others","WS/MP18354/2024-2025/163548-Installing tube-wells and borewells","Chhattisgarh","SURGUJA(Collector Surguja_IDA)","WARD NO 06 MAHARANA PRATAP WARD ME GULAR NAGESIYA GHAR KE PAAS TUBEWELL","CHINTAMANI MAHARAJ","SARGUJA(ST)","Images","19-May-2025","179993"
"4719","Normal/Others","WS/MP18354/2024-2025/163549-Installing tube-wells and borewells","Chhattisgarh","SURGUJA(Collector Surguja_IDA)","BAURIPARA SCHOOL AMBIKAPUR  PRABHA GHAR KE PAAS TUBEWELL","CHINTAMANI MAHARAJ","SARGUJA(ST)","Images","19-May-2025","179990"
"4720","Normal/Others","WS/MP18354/2024-2025/163547-Installing tube-wells and borewells","Chhattisgarh","SURGUJA(Collector Surguja_IDA)","WARD NO 6 MAHARANA PRATAP WARD ME SLR CENTER KE PAAS TUBEWELL","CHINTAMANI MAHARAJ","SARGUJA(ST)","Images","19-May-2025","179997"
"4721","Normal/Others","WS/MP18354/2024-2025/161308-Installing tube-wells and borewells","Chhattisgarh","SURGUJA(Collector Surguja_IDA)","LALO BAI GHAR KE PAAS TUBEWELL","CHINTAMANI MAHARAJ","SARGUJA(ST)","Images","19-May-2025","179993"
"4722","Normal/Others","WS/MP18032/2024-2025/136946-Installing tube-wells and borewells","Bihar","KAIMUR (BHABUA)(DISTRICT PLANNING OFFICER KAIMUR BHABUA_IDA)","Install Tube-well beside Shankar Ji temple at Imlia","SUDHAKAR SINGH","BUXAR","N/A","24-Mar-2025","230847"
"4723","Normal/Others","WS/MP18354/2024-2025/158233-Installing tube-wells and borewells","Chhattisgarh","SURGUJA(Collector Surguja_IDA)","GRAM PANCHYAT KALIBA KE GAU ASHRAY DHAM KHALIBA ME TUBEWELL","CHINTAMANI MAHARAJ","SARGUJA(ST)","Images","19-May-2025","179990"
"4724","Normal/Others","WS/MP18354/2024-2025/163553-Installing tube-wells and borewells","Chhattisgarh","SURGUJA(Collector Surguja_IDA)","GRAM PANCHYAT BARKOL SAJADOHAR KE PAAS TUBEWELL","CHINTAMANI MAHARAJ","SARGUJA(ST)","Images","19-May-2025","179990"
"4725","Normal/Others","WS/MP18238/2024-2025/141063-Construction of rooms and halls in school and colleges","Uttar Pradesh","DEORIA(DISTRICT MAGISTRATE DEORIA)","Manager Principal,Shakti Niketan Intermediate College Urdouli Varanda Construction","RAMASHANKAR RAJBHAR","SALEMPUR","N/A","08-Oct-2025","700000"
"4726","Normal/Others","WS/	 MP578/2024-2025/157174-Construction of roads, link roads, pathways or any other road with or without drainage system","Gujarat","BHARUCH(DISTRICT COLLECTOR BROACH_IDA)","muler game balvantbhai jayamalbhai na ghar thi panchayat sudhi pevar block nu kam","Mansukhbhai Dhanjibhai Vasava","BHARUCH","N/A","08-Jul-2025","299970"
"4727","Normal/Others","WS/	 MP578/2024-2025/157175-Construction of roads, link roads, pathways or any other road with or without drainage system","Gujarat","BHARUCH(DISTRICT COLLECTOR BROACH_IDA)","mosam game babubhai brahman na faliya ma pevar block nu kam","Mansukhbhai Dhanjibhai Vasava","BHARUCH","N/A","08-Jul-2025","294213"
